No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART/ APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT
1,5,-,APPENDIX A,-,III,c4,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(4) Reference information, e.g., information that is required for the operation but does not fall under (2) or (3) above; and"
1,5,-,APPENDIX A,-,III,c5,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(5) Information that can be grouped based on the phase of operation in which it is used.
1,5,-,APPENDIX A,-,III,d1,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(d) Design. Each certificate holder must ensure their FSDS:
(1) Is validated before deployment, under realistic conditions;"
1,5,-,APPENDIX A,-,III,d2,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(2) Maintains consistency in terminology and in the use of standard terms for common items and actions;
1,5,-,APPENDIX A,-,III,d3,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(3) Includes a glossary of terms, acronyms and their standard definition, updated on a regular basis to ensure access to the most recent terminology. All significant terms, acronyms and abbreviations included in the flight documents system must be defined;"
1,5,-,APPENDIX A,-,III,d4,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(4) Ensures standardization across document types, including writing style, terminology, use of graphics and symbols, and formatting across documents. This includes a consistent location of specific types of information, consistent use of units of measurement and consistent use of codes; and"
1,5,-,APPENDIX A,-,III,d5,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(5) Includes a master index to locate, in a timely manner, information included in more than one operational document."
1,5,-,APPENDIX A,-,III,e1,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(e) Deployment. Each certificate holder must:
(1) Monitor deployment of the flight safety documents system, to ensure appropriate and realistic use of the documents, based on the characteristics of the operational environment and in a way which is both operationally relevant and beneficial to operational personnel. This monitoring must include a formal feedback system for obtaining input from operational personnel."
1,5,-,APPENDIX A,-,III,f1,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(f) Amendment. Each certificate holder must:
(1) Develop an information gathering, review, distribution and revision control system to process information and data obtained from all sources relevant to the type of operation conducted, including, but not limited to, the State of the operator, State of design, State of registry, manufacturers and equipment vendors."
1,5,-,APPENDIX A,-,III,f2 (i),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(2) Develop an information gathering, review and distribution system to process information resulting from changes that originate within the operator, including:
(i) Changes resulting from the installation of new equipment;"
1,5,-,APPENDIX A,-,III,f2 (ii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(ii) Changes in response to operating experience;
1,5,-,APPENDIX A,-,III,f2 (iii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(iii) Changes in an operator’s policies and procedures;
1,5,-,APPENDIX A,-,III,f2 (iv),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(iv) Changes in an operator certificate; and
1,5,-,APPENDIX A,-,III,f2 (v),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(v) Changes for purposes of maintaining cross fleet standardization.
1,5,-,APPENDIX A,-,III,f3 (i),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(3) Ensure the FSDS is reviewed:
(i) On a regular basis (at least once a year);"
1,5,-,APPENDIX A,-,III,f3 (ii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(ii) After major events (mergers, acquisitions, rapid growth, downsizing, etc.);"
1,5,-,APPENDIX A,-,III,f3 (iii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(iii) After technology changes (introduction of new equipment); and
1,5,-,APPENDIX A,-,III,f3 (iv),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(iv) After changes in safety regulations.
1,5,-,APPENDIX A,-,III,f4,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(4) Develop methods of communicating new information. The specific methods must be responsive to the degree of communication urgency. The method of communicating new information must be complemented by a tracking system to ensure currency by operational personnel. The tracking system must include a procedure to verify that operational personnel have the most recent updates.
1,5,-,APPENDIX A,-,III,g,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(g) The FSDS must be acceptable to the President.
1,5,-,APPENDIX A,-,IV,iv,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,IV. Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.
1,5,-,APPENDIX A,-,IV,a1,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(a) Required Planning Documents.
Each certificate holder must establish and maintain a family assistance plan, as part of their emergency response plan, which must include:
(1) A telephone number which is rapidly available after an aircraft accident occurs, and a name list of the well trained persons who are capable of handling the phone calls of the families of the passengers and crew members."
1,5,-,APPENDIX A,-,IV,a2,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(2) The procedure for giving a timely notice to the families of the passengers and crew members.
1,5,-,APPENDIX A,-,IV,a3,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(3) The channel for offering to the GACA the information about the persons aboard the aircraft as well as for updating such information.
1,5,-,APPENDIX A,-,IV,a4,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(4) The promise to negotiate with the family of each passenger and crew member about the disposition of the remains and personal effects of the victims.
1,5,-,APPENDIX A,-,IV,a5,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(5) The promise to train, where necessary, its personnel and agents to as to address the needs of the families of victims, survivors and missing persons involved in the accident."
1,5,-,APPENDIX A,-,IV,a6,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(6) A compensation plan and procedures, and the procedures and organization for handling the funeral affairs of the victims."
1,5,-,APPENDIX A,-,IV,a7,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(7) The promise to commit sufficient resources to carry out this plan.
1,5,-,APPENDIX A,-,IV,,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"For any change to the family assistance plan, the certificate holder must report it to the President within 10 days after the change."
1,5,-,APPENDIX A,-,IV,b1 (i),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(b) Activation and Notification.
(1) As soon as the certificate holder learns of an aircraft accident involving their operation, it must activate its emergency response plan immediately and must report it to the GACA as soon as possible. The accident reporting information of a certificate holder must not only comply with the requirements of GACAR Part 4 and the regulations of the Aviation Investigation Bureau (AIB), but also provide the following information:
(i) The emergency response measures taken after the occurrence of the accident."
1,5,-,APPENDIX A,-,IV,b1 (ii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(ii) The main contact information, including the name and contact information of the certificate holder’s senior official for the onsite handling of the accident; the name, telephone number and location of the designated hotels for providing assistance to the families; the name and contact information of the persons who are responsible for notifying the families."
1,5,-,APPENDIX A,-,IV,b1 (iii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(iii) Other information relating to the accident.
1,5,-,APPENDIX A,-,IV,b2,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(2) The certificate holder must immediately announce the telephone number available for the inquiries of the families of the victims, survivors and missing persons."
1,5,-,APPENDIX A,-,IV,b3,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(3) The certificate holder must, as soon as possible, make initial notification to the family members of the victims, survivors and missing persons, and must correct the information about the persons aboard the aircraft after verifying it against the boarding documents."
1,5,-,APPENDIX A,-,IV,b4,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(4) The certificate holder must provide the accident coordinating team with a copy of the verified information about the persons aboard the aircraft, and must make reports of further verified information."
1,5,-,APPENDIX A,-,IV,c1 (i),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(c) The Provision of Assistance.
(1) The certificate holder must provide assistance to the families of the victims, survivors and missing persons, which include:
(i) Providing transport support to family members to travel to and from site of the accident."
1,5,-,APPENDIX A,-,IV,c1 (ii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(ii) Providing necessary logistical support to other family members such as lodging, place of activities, etc."
1,5,-,APPENDIX A,-,IV,c1 (iii),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(iii) Assigning trained personnel to provide family members with mental conciliating.
1,5,-,APPENDIX A,-,IV,c1 (iv),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(iv) Providing the victims, survivors and missing persons and their families with necessary medical health support."
1,5,-,APPENDIX A,-,IV,c1 (v),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(v) Providing necessary funds to carry out the family assistance tasks.
1,5,-,APPENDIX A,-,IV,c1 (vi),-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(vi) Providing other assistance relating to the aircraft accident.
1,5,-,APPENDIX A,-,IV,,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,The certificate holder must be responsible for the above mentioned assistance expenses.
1,5,-,APPENDIX A,-,IV,c2,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(2) The certificate holder must publicize the progress of contacting the families so as to further contact the families of the victims, survivors and missing persons in a timely manner."
1,5,-,APPENDIX A,-,IV,c3,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(3) Where any foreign passenger and crew member Is involved in the aircraft accident, the certificate holder must timely report the necessary information about him to the accident coordinating team so as to enable the foreign affairs department to contact the relevant foreign embassy in a timely manner."
1,5,-,APPENDIX B,-,I,i,-,,NON-COMMERCIAL OPERATIONS UNDER GACAR PART 125,Relief Provisions,I. Relief Provisions.
1,5,-,APPENDIX B,-,I,a,-,,NON-COMMERCIAL OPERATIONS UNDER GACAR PART 125,Relief Provisions,"(a) GACAR § 5.3(a) requires each certificate holder to establish and maintain a Safety Management System that is appropriate to the size, nature and complexity of the organization and its operations. The President recognizes that some non-commercial operators operating under GACAR Part 125 may have operations that are relatively small in terms of numbers of aircraft and staff and relatively non-complex in terms of kinds and areas of operation. In order to balance the potential safety benefits that can be achieved by an effective SMS with the resources required to implement all aspects of an SMS as prescribed in GACAR Part 5, the President is prepared to grant relief from certain aspects of subparts D, E and F provided the certificate holder can show that full compliance is not warranted given the size and complexity of their organization and operation."
1,5,-,APPENDIX B,-,I,b,-,,NON-COMMERCIAL OPERATIONS UNDER GACAR PART 125,Relief Provisions,(b) Each certificate holder wishing to avail themselves of these relief provisions must make application to the President in a form and manner acceptable to the President.
1,5,-,APPENDIX B,-,II,ii,-,,NON-COMMERCIAL OPERATIONS UNDER GACAR PART 125,Fatigue Risk Management Systems(FRMS),II. Fatigue Risk Management Systems (FRMS).
1,5,-,APPENDIX B,-,II,a,-,,NON-COMMERCIAL OPERATIONS UNDER GACAR PART 125,Fatigue Risk Management Systems(FRMS),(a) Each certificate holder that elects to use fatigue risk management systems to manage fatigue within their operation as permitted under GACAR § 125.423(b) must establish and maintain an FRMS as part of its SMS.
1,5,-,APPENDIX B,-,II,b,-,,NON-COMMERCIAL OPERATIONS UNDER GACAR PART 125,Fatigue Risk Management Systems(FRMS),(b) Each FRMS must comply with the requirements prescribed for FRMS in Appendix G to this part.
1,5,-,APPENDIX B,-,II,c,-,,NON-COMMERCIAL OPERATIONS UNDER GACAR PART 125,Fatigue Risk Management Systems(FRMS),(c) Each FRMS must be approved by the President prior to implementation and the certificate holder must make any changes to the program that are required by the President.
1,5,-,APPENDIX C,-,I,i,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,I. Local Runway Safety Program.
1,5,-,APPENDIX C,-,I,a,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(a) Each certificate holder must establishment and maintain a local runway safety program as part of its SMS.
1,5,-,APPENDIX C,-,I,b,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(b) Each certificate holder must establish a local runway safety committee at each of their aerodromes as part of their local runway safety program.
1,5,-,APPENDIX C,-,I,c,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(c) The local runway safety committee must comprise of representatives from aerodrome operator, air traffic service provider, airlines or aircraft operators and any other groups with a direct involvement in runway operations. The committee must be headed by the accountable executive."
1,5,-,APPENDIX C,-,I,d1,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(d) The local runway safety committee must have a terms of reference that, as a minimum, includes the following items:
(1) Determining the number, type and, if available, the severity of runway incursions;"
1,5,-,APPENDIX C,-,I,d2,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(2) Considering the outcome of investigation reports in order to establish local hot spots or problem areas at the aerodromes;
1,5,-,APPENDIX C,-,I,d3,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(3) Working as a cohesive team to better understand the operating difficulties of personnel working in other areas and recommending areas for improvement;
1,5,-,APPENDIX C,-,I,d4,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(4) Ensuring that the recommendations contained in the Manual on the Prevention of Runway Incursions (ICAO Doc 9870), and applicable on the various aspects of aerodrome operation are implemented;"
1,5,-,APPENDIX C,-,I,d5,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(5) Identifying any local problem areas and suggesting improvements;
1,5,-,APPENDIX C,-,I,d6,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(6) Conducting a runway safety awareness campaign that focuses on local issues, for example, producing and distributing local hot spot maps or other guidance material as considered necessary; and"
1,5,-,APPENDIX C,-,I,d7,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(7) Regularly reviewing the airfield to ensure its adequacy and compliance with regulatory requirements.
1,5,-,APPENDIX C,-,I,e1,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(e) The primary role of a local runway safety committee must be:
(1) To develop action plans for runway safety;"
1,5,-,APPENDIX C,-,I,e2,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(2) To identify potential runway incursion issues; and
1,5,-,APPENDIX C,-,I,e3,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(3) To recommend strategies for hazard removal and mitigation of the individual risks identified.
1,5,-,APPENDIX C,-,I,,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,Note: These strategies may be developed based on local occurrences or combined with information collected from other sources associated with aviation activities.
1,5,-,APPENDIX C,-,I,f1,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(f) The objectives of the local runway safety committee must be to improve the safety of runway operations. The local runway safety committee must establish goals to achieve the objective including:
(1) To improve runway safety data collection, analysis and dissemination as required in the SMS;"
1,5,-,APPENDIX C,-,I,f2,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(2) To check that signage and markings are compliant with GACAR Part 139 and visible to pilots and drivers;
1,5,-,APPENDIX C,-,I,f3,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(3) To develop initiatives for improving the standard of communications;
1,5,-,APPENDIX C,-,I,f4,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(4) To identify potential new technologies that may reduce the possibility of runway incursion;
1,5,-,APPENDIX C,-,I,f5,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(5) To ensure that procedures are compliant with the GACAR and other guidelines issued by the President from time to time; and
1,5,-,APPENDIX C,-,I,f6,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(6) To initiate local awareness by developing and distributing runway safety education and training material to air traffic controllers, pilots, personnel driving vehicles on the air side and personnel working at aerodromes."
1,5,-,APPENDIX C,-,I,g,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(g) The local runway safety committee must meet at least once in three month at aerodromes used for international air transportation and once in six month at other aerodromes. Frequency of meetings may be increased keeping in view of traffic growth due to capacity enhancement. The outcome of the meetings of the runway safety committee must be the development of a plan containing action items for mitigating runway safety deficiencies. The action plan must be aerodrome specific and linked to a runway safety concern, issue or problem at that aerodrome. Action items may include suggested changes to the physical features of, or facilities at the aerodrome; air traffic control procedures; air field access requirements; pilot and vehicle operator awareness; and production of hot spot maps. Each action item must have a designated person or  organization which is responsible for completing the relevant tasks. There may be more than one person or organization affected by an action item; in such cases head of the safety committee, must co-ordinate with such persons or organizations for the completion of all tasks associated with the action item. A realistic time frame to accomplish the work should also be associated with each action item."
1,5,-,APPENDIX C,-,I,h,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(h) The effectiveness of the implemented and/or completed action items must be assessed periodically. This can be accomplished by comparing the results of the initial analysis and the current runway incursion status.
1,5,-,APPENDIX C,-,I,i1,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(i) Identification of Hot Spots. Suitable strategies must be implemented to remove the hazard associated with hot spots. When this is not immediately possible, action must be initiated by adopting strategies to manage and mitigate the risk. These strategies may include:
(1) Awareness campaigns;"
1,5,-,APPENDIX C,-,I,i2,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(2) Additional visual aids (signs, markings and lighting);"
1,5,-,APPENDIX C,-,I,i3,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(3) Use of alternative routings;
1,5,-,APPENDIX C,-,I,i4,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(4) Construction of new taxiways; and
1,5,-,APPENDIX C,-,I,i5,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,(5) The mitigation of blind spots in the aerodrome control tower.
1,5,-,APPENDIX C,-,I,,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"Aerodromes charts showing hot spots must be produced by the aerodrome operator, checked regularly for accuracy, revised as needed, distributed locally and published in the KSA Aeronautical Information Publication (AIP)."
1,5,-,APPENDIX C,-,I,j,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Local Runway Safety Program,"(j) Information on establishment of runway safety committee and reports of the meetings, mitigating action by the runway safety committee including runway incursion, casual factor identification reports etc. must be submitted by the certificate holder to the President with a frequency acceptable to the President."
1,5,-,APPENDIX C,-,II,ii,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,II. Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.
1,5,-,APPENDIX C,-,II,a1 (i),-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(a) Required Planning Documents.
(1) Each certificate holder must establish and maintain a family assistance plan, as part of their emergency response plan, which must include:
(i) Availability of the Family Reception Center at the aerodrome;"
1,5,-,APPENDIX C,-,II,a1 (ii),-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(ii) Availability of the Survivor Reception Center at the aerodrome of the aeronautical accident or serious incident;
1,5,-,APPENDIX C,-,II,a1 (iii),-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(iii) Availability of the Media Center at the aerodrome;
1,5,-,APPENDIX C,-,II,a1 (iv),-,,"AERODROME OPERATIONS UNDER
GACAR PART 139",Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(iv) Sending and reception of survivors and families to the respective centers, if requested by the air operator, until it has conditions of assuming their operation; and"
1,5,-,APPENDIX C,-,II,a1 (v),-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(v) Provision of security and access control in the activated centers.
1,5,-,APPENDIX C,-,II,a2,-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(2) The certificate holder may delegate his responsibilities in this matter to a commercial entity acceptable to the President.
1,5,-,APPENDIX C,-,II,b1 (i),-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(b) Activation and Notification.
(1) As soon as the certificate holder learns of an aircraft accident involving their aerodrome, it must activate its emergency response plan immediately and must report it to the GACA as soon as possible. The accident reporting information of a certificate holder must not only comply with the requirements of GACAR Part 4 and the regulations of the Aviation Investigation Bureau (AIB), but also provide the following information:
(i) The emergency response measures taken after the occurrence of the accident."
1,5,-,APPENDIX C,-,II,b1 (ii),-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,"(ii) The main contact information, including the name and contact information of the certificate holder’s senior official for the onsite handling of the accident."
1,5,-,APPENDIX C,-,II,b1 (iii),-,,AERODROME OPERATIONS UNDER GACAR PART 139,Assistance to Families of Passengers and Crew Members Involved in Aircraft Accidents.,(iii) Other information relating to the accident.
1,5,-,APPENDIX D,-,I,i,-,,"FLIGHT CREW TRAINING OPERATIONS UNDER GACAR PARTS 141, 142 OR 143",Reserved,I. Reserved.
1,5,-,APPENDIX E,-,I,i,-,,REPAIR STATION OPERATIONS UNDER GACAR PART 145,Reserved,I. Reserved.
1,5,-,APPENDIX F,-,I,i,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,I. Additional Requirements.
1,5,-,APPENDIX F,-,I,a1,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,"(a) Each air traffic service (ATS) provider must ensure their SMS includes, inter alia, the following with respect to the provision of air traffic services:
(1) The monitoring of overall safety levels and detection of any adverse trend;"
1,5,-,APPENDIX F,-,I,a2,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,(2) Safety reviews of ATS units;
1,5,-,APPENDIX F,-,I,a3,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,"(3) Safety assessments in respect of the planned implementation of airspace reorganizations, the introduction of new equipment systems or facilities, and new or changed ATS procedures; and"
1,5,-,APPENDIX F,-,I,a4,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,(4) A mechanism for identifying the need for safety enhancing measures.
1,5,-,APPENDIX F,-,I,b,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,"(b) Each ATS provider must ensure that any significant safety-related change to the ATS system, including the implementation of a reduced separation minimum or a new procedure, must only be effected after a safety assessment has demonstrated that an acceptable level of safety will be met and users have been consulted."
1,5,-,APPENDIX F,-,I,c,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,"(c) If a change will have an effect on other certificate holders, the safety assessment associated with that change must be submitted to the president for acceptance."
1,5,-,APPENDIX F,-,I,d,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Additional Requirements,"(d) When appropriate, the ATS provider must ensure that adequate provision is made for post-implementation monitoring to verify that the defined level of safety continues to be met."
1,5,-,APPENDIX F,-,II,ii,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Fatigue Risk Management Systems(FRMS),II. Fatigue Risk Management Systems (FRMS).
1,5,-,APPENDIX F,-,II,a,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Fatigue Risk Management Systems(FRMS),(a) Each certificate holder that elects to use fatigue risk management systems to manage fatigue within their operation as permitted under GACAR § 171.91(b)(2) must establish and maintain an FRMS as part of its SMS.
1,5,-,APPENDIX F,-,II,b,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Fatigue Risk Management Systems(FRMS),(b) Each Each FRMS must comply with the requirements prescribed for FRMS in Appendix G to this part.
1,5,-,APPENDIX F,-,II,c,-,,AIR TRAFFIC SERVICES OPERATIONS UNDER GACAR PART 171,Fatigue Risk Management Systems(FRMS),(c) Each FRMS must be approved by the President prior to implementation and the certificate holder must make any changes to the program that are required by the President.
1,5,-,APPENDIX G,-,,,-,,FATIGUE RISK MANAGEMENT SYSTEM (FRMS),FATIGUE RISK MANAGEMENT SYSTEM (FRMS),"Each Fatigue Risk Management System (FRMS) established to meet prescribed fatigue management requirements must contain, at a minimum, all of the items prescribed in this Appendix G."
1,5,-,APPENDIX G,-,I,i,-,,FATIGUE RISK MANAGEMENT SYSTEM (FRMS),FRMS Policy and Documentation,I. FRMS Policy and Documentation.
1,5,-,APPENDIX G,-,I,a1,-,,FATIGUE RISK MANAGEMENT SYSTEM (FRMS),FRMS Policy and Documentation,"(a) FRMS policy.
(1) The certificate holder must define its FRMS policy, with all elements of the FRMS clearly identified."
1,5,-,APPENDIX G,-,I,a2,-,,FATIGUE RISK MANAGEMENT SYSTEM (FRMS),FRMS Policy and Documentation,(2) The FRMS policy must require that the scope of FRMS operations be clearly defined in the operations manual.
1,5,-,APPENDIX G,-,I,a3 (i),-,,FATIGUE RISK MANAGEMENT SYSTEM (FRMS),FRMS Policy and Documentation,"(3) The FRMS policy must:
(i) Reflect the shared responsibility of management, airmen, and other involved personnel;"
1,5,-,APPENDIX G,-,I,a3 (ii),-,,FATIGUE RISK MANAGEMENT SYSTEM (FRMS),FRMS Policy and Documentation,(ii) Clearly state the safety objectives of the FRMS;
