No,GACAR PART,SUBPART,APPENDIX,Subpart/ Appendix SECTION,Subpart / Appendix SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,"COMPLIANCE STATUS
""C""""NC""N/A""""NF""",Department,AOC,Auditor Checklist Query,,,PRIMARY MANUAL,PRIMARY REFERENCE,SECONDARY MANUAL,SECONDARY REFERENCE,AUDITOR COMMENTS,AREAS EFFECTED,"REVIEW STATUS ""NC, N/A, RF, DEL""",DEPARTMENTAL APPROVAL,UPDATE STATUS,AREAS EFFECTED CORRECTED,REMARKS/ COMMENTS,QA FINAL CHECK,DEPARTMENT COMMENTS,QA COMMENTS,CHECK OTHER REFERENCE,
,109,SUBPART D,,109.63,-,,,OPERATOR RESPONSIBILITIES,"Inspection for Damage, Leakage, or Contamination","(1) Packages and overpacks containing dangerous goods and freight containers containing
radioactive materials must be inspected for evidence of leakage or damage before loading on an
aircraft or into a unit load device, as specified in the Technical Instructions.",C,,,NO,NO,NO,P-DGR,4.6.4,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.63,-,,,OPERATOR RESPONSIBILITIES,"Inspection for Damage, Leakage, or Contamination","(2) Leaking or damaged packages, overpacks, or freight containers must not be loaded on an
aircraft.",C,,,NO,NO,NO,P-DGR,4.6.3,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.63,-,,,OPERATOR RESPONSIBILITIES,"Inspection for Damage, Leakage, or Contamination","(3) A unit load device must not be loaded aboard an aircraft unless it has been found free from
any evidence of leakage from, or damage to, any dangerous goods contained therein.",C,,,NO,NO,NO,P-DGR,4.6.3,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.63,b,,,OPERATOR RESPONSIBILITIES,"Inspection for Damage, Leakage, or Contamination","(b) Removal of leaking or damaged packagings. Any packages, overpacks, or freight containers of
dangerous goods found on an aircraft and which appear to be damaged or leaking must be removed
or arrangements made for their removal by an appropriate person or ground-handling agent. In this
case, the remainder of the shipment must be inspected to ensure it is in a proper condition for
transport and that no damage or contamination has occurred to the aircraft or its load, and that
other cargo or baggage loaded on or suspended beneath the aircraft is fit for transport by air and
has not been contaminated.",C,,,NO,NO,NO,P-DGR,4.6.4,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.63,c,,,OPERATOR RESPONSIBILITIES,"Inspection for Damage, Leakage, or Contamination","(c) Unloading. Packages or overpacks containing dangerous goods and freight containers
containing radioactive materials are inspected for signs of damage or leakage upon unloading from
an aircraft or a unit load device. If there is evidence of damage or leakage, the area where the
dangerous goods were stowed on the aircraft must be inspected for damage or contamination.",C,,,NO,NO,NO,P-DGR,4.6.4,,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,-,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,Each DGTA holder must adhere to the following restrictions:,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,a,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,"(a) General. Packages and overpacks containing dangerous goods and freight containers
containing radioactive materials must be loaded, segregated, stowed, and stored on an aircraft in
accordance with the provisions of the Technical Instructions.",C,,,NO,NO,NO,P-DGR,2.3,P-DGR,4.4,,,-,,,,,,,,,
,109,SUBPART D,,109.65,b,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,"(b) Passenger cabin and flightdeck. Dangerous goods must not be carried in an aircraft cabin
occupied by passengers or on the flightdeck, except as permitted in the Technical Instructions.",C,,,NO,NO,NO,P-DGR,3.3.3,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,c,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,"(c) Dangerous goods designated for carriage only on cargo aircraft. Packages of dangerous
goods bearing the “CARGO AIRCRAFT ONLY” label must be loaded in accordance with the
provisions in the Technical Instructions.",C,,,NO,NO,NO,P-DGR,2.5.3,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,d,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,(d) Separation and segregation.,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,-,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,"(1) Packages containing dangerous goods that might react dangerously with each other must
not be stowed on an aircraft next to each other or in a position that would allow interaction
between them in the event of leakage.",C,,,NO,NO,NO,P-DGR,2.3,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,-,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,(2) Packages of toxic and infectious substances must be stowed on an aircraft in accordance with the provisions of the Technical Instructions.,C,,,NO,NO,NO,P-DGR,2.3,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,-,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,"(3) Packages of radioactive materials must be stowed on an aircraft so that they are separated
from persons, live animals, and undeveloped film in accordance with the provisions in the
Technical Instructions.",C,,,NO,NO,NO,P-DGR,5.1,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.65,e,,,OPERATOR RESPONSIBILITIES,Loading and Stowage Restrictions,"(e) Securing of dangerous goods cargo loads. When dangerous goods are loaded in an aircraft,
they must be protected from being damaged and be secured in the aircraft in such a way that
prevents any movement in flight that would change the orientation of the packages. For packages
containing radioactive materials, the securing must be adequate to ensure that the separation
requirements of paragraph (d)(3) of this section are met at all times.",C,,,NO,NO,NO,P-DGR,4.4.,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.67,a,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,(a) Each DGTA holder must ensure that—,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(1) Any dangerous contamination resulting from the leakage of or damage to dangerous goods
is removed without delay and steps are taken to eliminate any danger as specified in the
Technical Instructions and",C,,,NO,NO,NO,P-DGR,6.2,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(2) An aircraft which has been contaminated by radioactive materials is immediately taken out
of service and not returned to service until the radiation level at any accessible surface and the
nonfixed contamination are not more than the values specified in the Technical Instructions.",C,,,NO,NO,NO,P-DGR,5.9,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.67,b,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(b) In the event of noncompliance with any limit in the Technical Instructions applicable to
radiation level or contamination, an operator or ground-handling agent acting on the operator’s
behalf must—",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(1) Ensure the shipper and the DGPC holder are informed if the noncompliance is identified
during transport.",C,,,NO,NO,NO,P-DGR,6.2,P-DGR,6.4,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,(2) Take immediate steps to mitigate the consequences of the noncompliance.,C,,,NO,NO,NO,P-DGR,6.2,P-DGR,6.4,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(3) Communicate the noncompliance to the shipper, DGPC, and the GACA as soon as
practicable and immediately whenever an emergency situation has developed or is
developing.",C,,,NO,NO,NO,P-DGR,6.2,P-DGR,6.4,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(4) Investigate the noncompliance and its causes, circumstances and consequences.",C,,,NO,NO,NO,P-DGR,6.2,P-DGR,6.4,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(5) Take appropriate action to remedy the causes and circumstances that led to the
noncompliance and to prevent a recurrence of circumstances similar to those that led to the
noncompliance.",C,,,NO,NO,NO,P-DGR,6.2,P-DGR,6.4,,,-,,,,,,,,,
,109,SUBPART D,,109.67,-,,,OPERATOR RESPONSIBILITIES,Removal of Contamination.,"(6) Communicate to the GACA the causes of the noncompliance and corrective or preventive
actions taken or to be taken.",C,,,NO,NO,NO,P-DGR,6.2,P-DGR,6.4,,,-,,,,,,,,,
,109,SUBPART E,,109.81,-,,,PROVISION OF INFORMATION,Information for Flight Crew Members.,"Each DGTA holder must provide information in its operations manual and other appropriate
manuals to enable flight crew members to carry out their responsibilities as specified in the
Technical Instructions with regard to the transport of dangerous goods, including—",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.81,a,,,PROVISION OF INFORMATION,Information for Flight Crew Members.,(a) The actions to be taken in the event of emergencies involving dangerous goods and,C,,,NO,NO,NO,P-DGR,6.2,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.81,b,,,PROVISION OF INFORMATION,Information for Flight Crew Members.,"(b) Details of the location and numbering system of cargo compartments and the total of the
transport indexes of radioactive material permitted in each compartment, as specified in the
Technical Instructions.",C,,,NO,NO,NO,P-DGR,6.2,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.83,-,,,PROVISION OF INFORMATION,Information for Passengers.,"Each operator must ensure that passengers are notified about the categories of dangerous goods
that may not be taken aboard an aircraft in either checked baggage or carry-on baggage
accompanying the passenger as specified in the Technical Instructions by—",C,,,NO,NO,NO,P-DGR,4.7.3,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.83,a,,,PROVISION OF INFORMATION,Information for Passengers.,"(a) Providing information with each passenger ticket, or",C,,,NO,NO,NO,P-DGR,4.7.3,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.83,b,,,PROVISION OF INFORMATION,Information for Passengers.,(b) Displaying a sufficient number of notices at—,C,,,NO,NO,NO,P-DGR,4.7.3,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.83,-,,,PROVISION OF INFORMATION,Information for Passengers.,(1) Each of the places where the operator issues tickets and,C,,,NO,NO,NO,P-DGR,4.7.3,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.83,-,,,PROVISION OF INFORMATION,Information for Passengers.,(2) Any location where baggage is checked in.,C,,,NO,NO,NO,P-DGR,4.7.3,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.85,-,,,PROVISION OF INFORMATION,Information for Other Persons.,Each DGTA holder and operator described in GACAR § 109.1(c) must provide—,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.85,a,,,PROVISION OF INFORMATION,Information for Other Persons.,"(a) Information to their personnel to enable them to carry out their responsibilities with regard to
the transport of dangerous goods and",C,,,NO,NO,NO,P-DGR,4.7.2,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.85,b,,,PROVISION OF INFORMATION,Information for Other Persons.,"(b) Instructions as to the action to be taken in the event of emergencies arising involving
dangerous goods.",C,,,NO,NO,NO,P-DGR,6,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.87,-,,,PROVISION OF INFORMATION,Information for the Pilot in Command,Each DGTA holder must ensure that—,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.87,a,,,PROVISION OF INFORMATION,Information for the Pilot in Command,"(a) Written information about the dangerous goods to be carried on an aircraft, as specified in the
Technical Instructions, is provided to the pilot in command (PIC) before departure.",C,,,NO,NO,NO,P-DGR,4.7.1,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.87,b,,,PROVISION OF INFORMATION,Information for the Pilot in Command,"(b) Information for use in responding to in-flight emergencies is provided to the PIC, as specified
in the Technical Instructions.",C,,,NO,NO,NO,P-DGR,6,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.87,c,,,PROVISION OF INFORMATION,Information for the Pilot in Command,"(c) A legible copy of the written information provided to the PIC, signed by the PIC, is retained on
the ground at a readily accessible location until after the flight. This copy, or the information
contained in it, must be readily accessible to the operator’s personnel or representatives at the
aerodromes of last departure and next scheduled arrival until after the completion of the flight to
which the information refers.",C,,,NO,NO,NO,P-DGR,4.7.1,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.87,d,,,PROVISION OF INFORMATION,Information for the Pilot in Command,"(d) A copy of the written information to the PIC, an electronic image thereof, or the information
contained therein, is maintained for 90 days at the aerodrome of departure or the operator’s
principal place of business, and provided to the GACA upon request.",C,,,NO,NO,NO,P-DGR,4.7.1,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.87,e,,,PROVISION OF INFORMATION,Information for the Pilot in Command,"(e) When dangerous goods are carried on a flight that takes place wholly or partially outside the
Kingdom of Saudi Arabia, written information provided to the PIC must be in English.",C,,,NO,NO,NO,P-DGR,4.7.1,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.89,a,,,PROVISION OF INFORMATION,Information in the Event of an Aircraft Accident or Incident,"(a) Aircraft accident or aircraft incident. The operator of an aircraft carrying dangerous goods
that is involved in an aircraft accident or aircraft incident must without delay provide to
emergency services responding to the accident or incident information about the dangerous goods
aboard, as shown on the written information to the PIC. As soon as possible, the operator must
also provide this information to the GACA and the appropriate authorities of the State in which
the accident or incident occurred.",C,,,NO,NO,NO,P-DGR,6.4,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.89,b,,,PROVISION OF INFORMATION,Information in the Event of an Aircraft Accident or Incident,"(b) The operator of an aircraft carrying dangerous goods must include procedures in manuals and
accident contingency plans to enable the information to be provided as specified in this section.",C,,,NO,NO,NO,P-DGR,6.4,-,-,,,-,,,,,,,,,
,109,SUBPART E,,109.91,-,,,PROVISION OF INFORMATION,Information in the Event of an In-Flight Emergency,"If an in-flight emergency occurs, as soon as the situation permits, the PIC must inform the
appropriate Air Traffic Services unit, for the information of aerodrome authorities, of any dangerous
goods carried as cargo aboard the aircraft as specified in the Technical Instructions.",C,,,NO,NO,NO,P-DGR,6,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,a,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,"(a) Initial and recurrent dangerous goods training programs, in accordance with the Technical
Instructions and as provided for in Appendix B to this part, must be established and maintained by
or on behalf of—",C,,,NO,NO,NO,P-DGR,8,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,-,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,"(1) DGTA holders,",C,,,NO,NO,NO,P-DGR,8,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,-,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,"(2) Operators not authorized to transport dangerous goods as described under GACAR §
109.1(c), or",C,,,NO,NO,NO,P-DGR,8,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,-,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,(3) DGPC holders.,N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,b,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,"(b) Training programs established under paragraph (a) of this section must be approved by the
President.",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,c,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,"(c) Initial training. Each person who performs or directly supervises any of the personnel
functions identified in the tables in Appendix B to this part must satisfactorily complete the
appropriate dangerous goods training upon employment, or it must be verified such training has
been completed before the person assumes his duties.",C,,,NO,NO,NO,P-DGR,8.3,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,d,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,"(d) Recurrent training. Each person who performs or directly supervises any of the personnel
functions identified in the tables in Appendix B to this part must satisfactorily complete the
appropriate dangerous goods training every 24 months. If the recurrent training is completed
within the final 3 months of validity of the previous training, the period of validity extends from
the date on which the recurrent training was completed until 24 months from the expiration date of
that training.",C,,,NO,NO,NO,P-DGR,8.3,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.101,e,,,DANGEROUS GOODS TRAINING,Initial and Recurrent Training,"(e) Testing. The training described in paragraphs (c) and (d) of this section must include testing to
verify understanding of the training materials by the recipients of the training.",C,,,NO,NO,NO,P-DGR,8.5,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.103,,,,DANGEROUS GOODS TRAINING,Instructor Qualifications,"No person may serve as an instructor for an initial or recurrent dangerous goods training program
unless that person has—",C,,,NO,NO,NO,P-DGR,8.6,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.103,a,,,DANGEROUS GOODS TRAINING,Instructor Qualifications,"(a) Instructional skills acceptable to the President,",C,,,NO,NO,NO,P-DGR,8.6,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.103,b,,,DANGEROUS GOODS TRAINING,Instructor Qualifications,"(b) Successfully completed a dangerous goods training program in the category specified in
Appendix B to this part applicable to the course being taught, and",C,,,NO,NO,NO,P-DGR,8.6,-,-,,,-,,,,,,,,,
,109,SUBPART F,,109.103,c,,,DANGEROUS GOODS TRAINING,Instructor Qualifications,"(c) Conducted an initial or recurrent training course in the previous 24 months or has completed
recurrent training.",C,,,NO,NO,NO,P-DGR,8.6,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"Each person seeking certification under GACAR § 109.41 must prepare and maintain a dangerous
goods manual approved by the President that—",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,a,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(a) Contains procedures and information, as described in paragraph (b) of this section, to assist
each person performing or directly supervising the following job functions involving preparing
items for transport on an aircraft:",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(1) Classification of dangerous goods,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(2) Listing of dangerous goods,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(3) Verifying compliance with limitations,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(4) Packing of dangerous goods,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(5) Labeling and marking,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(6) Recognition of undeclared dangerous goods,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(7) Provision of information to passengers and crew,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(8) Storing and loading, and",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,(9) Handling emergencies.,N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,b,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(b) Ensures that the procedures and information described in this paragraph are sufficient to assist
the person in—",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(1) Preparing packages, overpacks and freight containers of dangerous goods;",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(2) Properly labeling and marking packages, overpacks and freight containers of dangerous
goods; and",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(3) Preparing the dangerous goods transport document and declaration, except when otherwise specified in the Technical Instructions.",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,c,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,(c) Provides details of the training programs required by GACAR § 109.101.,N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.11,d,,,DANGEROUS GOODS MANUALS,Dangerous Goods Preparer’s Manual,"(d) The dangerous goods manual required by this section may be a separate manual or part of a
manual and must contain that part of the information appropriate for each group of personnel.",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"Each DGTA holder and operator described in GACAR § 109.1(c) must prepare and maintain
current a dangerous goods manual approved by the President that—",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,a,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(a) Contains procedures and information, as described in paragraph (b) of this section, to assist
each crew member and person performing or directly supervising the following job functions
involving items for transport on an aircraft:",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(1) Acceptance,",C,,,NO,NO,NO,P-DGR,4.6,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(2) Rejection,",C,,,NO,NO,NO,P-DGR,4.2,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(3) Handling,",C,,,NO,NO,NO,P-DGR,4.6,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(4) Storing incidental to transport,",C,,,NO,NO,NO,P-DGR,4.3,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(5) Packaging of company material, and",C,,,NO,NO,NO,P-DGR,3.4,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,(6) Loading.,C,,,NO,NO,NO,P-DGR,4.6,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,b,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(b) Ensures that the procedures and information described in this paragraph are sufficient to assist
the person in identifying packages that are marked or labeled as containing dangerous goods or
that show signs of containing undeclared dangerous goods. The procedures and information must
include—",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(1) Procedures for rejecting packages that do not conform to this part and the Technical
Instructions or that appear to contain undeclared dangerous goods;",C,,,NO,NO,NO,P-DGR,4.6,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(2) Procedures for complying with the dangerous goods reporting requirements of GACAR §
109.121 and discrepancy reporting requirements of GACAR § 109.123;",C,,,NO,NO,NO,P-DGR,6.4,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(3) The operator’s dangerous goods policies and whether the operator is authorized to carry,
or is prohibited from carrying, dangerous goods; and",C,,,NO,NO,NO,P-DGR,1.1,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(4) If an operator’s operations specifications or authorizing documents permit the transport of
dangerous goods, procedures and information to ensure that—",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(i) Packages containing dangerous goods are properly offered and accepted in
compliance with this part;",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(ii) Packages containing dangerous goods are properly handled, stored, packaged,
loaded, and carried aboard an aircraft in compliance with this part;",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(iii) The PIC is notified in compliance with the requirements in GACAR § 109.87(d);
and",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,-,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(iv) Aircraft replacement parts, consumable materials or other items regulated under this
part are properly handled, packaged, and transported.",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,c,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,(c) Provides details of the training programs required by GACAR § 109.101.,C,,,NO,NO,NO,P-DGR,8,-,-,,,-,,,,,,,,,
,109,SUBPART G,,109.113,d,,,DANGEROUS GOODS MANUALS,Dangerous Goods Transportation Manual,"(d) The dangerous goods manual required by this section may be a separate manual or part of a
manual and must contain that part of the information appropriate for each group of personnel.",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART H,,109.121,a,,,REPORTS AND RECORDS,Dangerous Goods Reporting Requirements,"(a) Reporting dangerous goods incidents and accidents. An operator must report in writing
dangerous goods incidents and accidents to the GACA and the appropriate authority in the state
where the accident or incident occurred.",C,,,NO,NO,NO,P-DGR,6,-,-,,,-,,,,,,,,,
,109,SUBPART H,,109.121,b,,,REPORTS AND RECORDS,Dangerous Goods Reporting Requirements,"(b) Reporting undeclared or misdeclared dangerous goods. An operator must report in writing
the finding of undeclared or misdeclared dangerous goods discovered in cargo, passengers’
baggage, or mail to the GACA and the appropriate authority in the state where the accident or
incident occurred",C,,,NO,NO,NO,P-DGR,6.4,-,-,,,-,,,,,,,,,
,109,SUBPART H,,109.121,c,,,REPORTS AND RECORDS,Dangerous Goods Reporting Requirements,"(c) Written reports made under this section must be in a format approved by the President and
contain the information specified in Appendix A to this part.",C,,,NO,NO,NO,P-DGR,6.4,-,-,,,-,,,,,,,,,
,109,SUBPART H,,109.121,d,,,REPORTS AND RECORDS,Dangerous Goods Reporting Requirements,"(d) First reports must be submitted within 72 hours of the event or discovery, unless exceptional
circumstances prevent this, and include the details that are known at that time. If necessary, a
subsequent report must be made as soon as possible giving all the details that were not known at
the time the first report was sent. If a report has been made verbally, written confirmation must be
sent as soon as possible.",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART H,,109.123,a,,,REPORTS AND RECORDS,Dangerous Goods Discrepancy Report,"(a) Each person who discovers a discrepancy, as defined in paragraph (b) of this section, relative to
the shipment of a dangerous good following its acceptance for transportation aboard an aircraft
must, as soon as practicable, notify the GACA by telephone or electronically and must provide the
following information:",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
