No,GACAR PART,SUBPART,APPENDIX,SUBPART/ APPENDIX SECTION,SUBPART/ APPENDIXSUB SECTION,OPS AREA,AREAS,SUBPART/ APPENDIX  HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,Department,AOC,Auditor Checklist Query,,
1,121,SUBPART E,-,121.225,c,-,"FLT, DSP",AIRCRAFT REQUIREMENTS,Aircraft Proving and Validation Tests: Special Unscheduled Operations,"(c) Validation testing is required to determine that a certificate holder is capable of conducting operations safely and in compliance with applicable regulatory standards. Validation tests are required for the following approvals:
",FLT,121U,NO,NO,NO
1,121,SUBPART E,-,121.225,c1,-,"FLT, DSP",AIRCRAFT REQUIREMENTS,Aircraft Proving and Validation Tests: Special Unscheduled Operations,"
(1) The addition of an aircraft, if that aircraft or an aircraft of the same make or similar design has not been previously proved or validated in operations under this part.",FLT,121U,NO,NO,NO
1,121,SUBPART E,-,121.225,c2,-,"FLT, DSP",AIRCRAFT REQUIREMENTS,Aircraft Proving and Validation Tests: Special Unscheduled Operations,(2) Operations outside KSA airspace.,FLT,121U,NO,NO,NO
1,121,SUBPART E,-,121.225,c3,-,"FLT, DSP",AIRCRAFT REQUIREMENTS,Aircraft Proving and Validation Tests: Special Unscheduled Operations,(3) Special performance or operational authorizations.,FLT,121U,NO,NO,NO
1,121,SUBPART E,-,121.225,d,-,"FLT, DSP",AIRCRAFT REQUIREMENTS,Aircraft Proving and Validation Tests: Special Unscheduled Operations,(d) Validation tests must be accomplished by test methods acceptable to the President. Actual flights may not be required when an applicant can demonstrate competence and compliance with appropriate regulations without conducting a flight.,FLT,121U,NO,NO,NO
1,121,SUBPART E,-,121.225,e,-,"FLT, DSP",AIRCRAFT REQUIREMENTS,Aircraft Proving and Validation Tests: Special Unscheduled Operations,(e) Proving tests and validation tests may be conducted simultaneously when appropriate.,FLT,121U,NO,NO,NO
1,121,SUBPART E,-,121.225,f,-,"FLT, DSP",AIRCRAFT REQUIREMENTS,Aircraft Proving and Validation Tests: Special Unscheduled Operations,(f) The President may provide relief from this section if he finds that special circumstances make full compliance with this section unnecessary.,FLT,121U,NO,NO,NO
1,121,SUBPART F,-,121.255,,-,FLT,AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Applicability,This subpart prescribes airplane performance operating limitations for all certificate holders.,FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.259,a,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,General,"(a) Except as provided in paragraph (c) of this section, each certificate holder operating an airplane under this part must comply with the applicable provisions of GACAR §§ 121.263 through 121.279.",FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.259,b,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,General,"(b) The performance data in the AFM applies in determining compliance with GACAR §§ 121.263 through 121.279. Where conditions are different from those on which the performance data is based, compliance is determined by interpolation or by computing the effects of changes in the specific variables if the results of the interpolation or computations are substantially as accurate as the results of direct tests.",FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.259,c,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,General,(c) The certificate holder must consider charting accuracy when assessing compliance with GACAR § 121.263.,FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.259,d,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,General,(d) The President may authorize relief in the operations specifications from the requirements in this subpart if special circumstances make a literal observance of a requirement unnecessary for safety.,FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.263,a,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,a) No person operating an airplane may take off at a mass greater than that listed in the AFM for the elevation of the aerodrome and for the ambient temperature existing at takeoff.,FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,b,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"(b) No person operating an airplane may take off at a mass greater than that listed in the AFM at which compliance with the following may be shown:
",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,b1,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"
(1) The accelerate stop distance must not exceed the length of the runway plus the length of any stopway.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,b2,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"(2) The takeoff distance must not exceed the length of the runway plus the length of any clearway except that the length of any clearway included must not be greater than one half the length of the runway.
",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,b3,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,(3) The takeoff run must not be greater than the length of the runway.,FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,c,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"c) No person operating an airplane may take off at a mass greater than that listed in the AFM that allows a net takeoff flight path that clears all obstacles either by a height of at least 35 ft (10 m) vertically, or by at least 200 ft (60 m) horizontally within the aerodrome boundaries and by at least 300 ft (90 m) horizontally after passing the boundaries.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,d,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"(d) In determining maximum mass, minimum distances, and flight paths under paragraphs (a) through (c) of this section, correction must be made for the runway to be used, the elevation of the aerodrome, the effective runway gradient, the ambient temperature and wind component at the time of takeoff, and, if operating limitations exist for the minimum distances required for takeoff from wet runways, the runway surface condition (dry or wet). Wet runway distances associated with grooved or porous friction course runways, if provided in the AFM, may be used only for runways that are grooved or treated with a porous friction course overlay, and that the air operator determines are designed, constructed, and maintained in a manner acceptable to the President.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,e,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"(e) For the purposes of this section, it is assumed the airplane is not banked before reaching a height of 50 ft (15 m), as shown by the takeoff path or net takeoff flight path data (as appropriate) in the AFM, and thereafter that the maximum bank is not more than 15°.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,f,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"(f) For the purposes of this section the terms, “takeoff distance,” “takeoff run,” “net takeoff flight path,” and “takeoff path” have the same meanings as set forth in the rules under which the aircraft was certificated.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.263,g,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Takeoff Limitations,"(g) In determining the length of the runway available, account must be taken of the loss, if any, of runway length due to alignment of the airplane before takeoff.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,a,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,"(a) No person operating an airplane may take off at a mass, allowing for normal consumption of fuel and oil and based on the ambient temperatures expected en route, greater than that which (under the approved, one engine inoperative, en route net flight path data in the AFM for that aircraft) will allow compliance with paragraph (a)(1) or (2) of this section;
",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,a1,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,"
(1) There is a positive slope at an altitude of at least 1 000 ft (300 m) above all terrain and obstructions within 4.4 NM (8 km) on each side of the intended track, and there is a positive slope at 1 500 ft (450 m) above the aerodrome where the aircraft is assumed to land after an engine fail",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,a2,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,"(2) The net flight path allows the aircraft to continue flight from the cruising altitude to an aerodrome where a landing can be made under GACAR § 121.279, clearing all terrain and obstructions within 4.4 NM (8 km) of the intended track by at least 2 000 ft (600 m) vertically, and with a positive slope at 1 500 ft (450 m) above the aerodrome where the aircraft lands after an engine fails.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,b,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,"(b) For the purposes of paragraph (a)(2) of this section, it is assumed—
",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,b1,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,"
(1) The engine fails at the most critical point en route;",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,b2,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,"(2) The airplane passes over the critical obstruction, after engine failure at a point that is no closer to the obstruction than the nearest approved radio navigation fix, unless the President authorizes a different procedure based on adequate operational safeguards;",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,b3,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,(3) An acceptable method is used to allow for adverse winds;,FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,b4,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,"(4) Fuel jettisoning will be allowed if the certificate holder shows the crew is properly instructed, the training program is adequate, and all other precautions are taken to ensure a safe procedure;",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,b5,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,(5) The alternate aerodrome is specified in the dispatch or flight release and meets the prescribed weather minimums; and,FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.267,b6,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: One Engine Inoperative,(6) The consumption of fuel and oil after engine failure is the same as the consumption allowed for in the approved net flight path data in the AFM.,FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.271,a,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: Two Engines Inoperative,"No person may operate an airplane along an intended route unless he complies with either of the following:
(a) There is no place along the intended track that is more than 90 minutes (with all engines operating at cruising power) from an aerodrome that meets the requirements of GACAR § 121.279.",FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.271,b,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: Two Engines Inoperative,"(b) The airplane mass, according to the two engine inoperative, en route, net flight path data in the AFM, allows the aircraft to fly from the point where the two engines are assumed to fail simultaneously to an aerodrome that meets the requirements of GACAR § 121.279, with the net flight path (considering the ambient temperatures anticipated along the track) clearing vertically by at least 2 000 ft (600 m) all terrain and obstructions within 4.4 NM (8 km) on each side of the intended track. For the purposes of this subparagraph, it is assumed—
",FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.271,b1,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: Two Engines Inoperative,"
(1) The two engines fail at the most critical point en route;",FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.271,b2,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: Two Engines Inoperative,(2) The net flight path has a positive slope at 1 500 ft (450 m) above the aerodrome where the landing is assumed to be made after the engines fail;,FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.271,b3,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: Two Engines Inoperative,"(3) Fuel jettisoning will be approved if the certificate holder shows the crew is properly instructed, the training program is adequate, and all other precautions are taken to ensure a safe procedure;",FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.271,b4,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: Two Engines Inoperative,"(4) The airplane’s mass at the point where the two engines are assumed to fail provides enough fuel to continue to the aerodrome, to arrive at an altitude of at least 1 500 ft (450 m) directly over the aerodrome, and thereafter to fly for 15 minutes at cruise power or thrust, or both; and",FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.271,b5,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: En Route Limitations: Two Engines Inoperative,(5) The consumption of fuel and oil after the engine failure is the same as the consumption allowed for in the net flight path data in the AFM.,FLT,All 121,NO,NO,NO
1,121,SUBPART F,-,121.275,a,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Destination Aerodromes,(a) No airplane may take off at such a mass that (allowing for normal consumption of fuel and oil in flight to the destination or alternate aerodrome) the mass of the aircraft on arrival would exceed the maximum landing mass in the AFM for the elevation of the destination or alternate aerodrome and the ambient temperature anticipated at the time of landing.,FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.275,b,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Destination Aerodromes,"(b) Except as provided in paragraph (c), (d), or (e) of this section, no airplane may take off unless its mass on arrival, allowing for normal consumption of fuel and oil in flight (under the landing distance set forth in the AFM for the elevation of the destination aerodrome and the wind conditions anticipated there at the time of landing), would allow a full stop landing at the intended destination aerodrome within 60 percent of the effective length of each runway described below from a point 50 ft (15 m) above the intersection of the obstruction clearance plane and the runway. In determining the allowable landing mass at the destination aerodrome the following is assumed:
",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.275,b1,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Destination Aerodromes,"
(1) The airplane is landed on the most favorable runway and in the most favorable direction, in still air.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.275,b2,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Destination Aerodromes,"(2) The airplane is landed on the most suitable runway considering the probable wind velocity and direction and the ground handling characteristics of the aircraft, and considering other conditions such as landing aids and terrain.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.275,c,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Destination Aerodromes,"(c) A turbopropeller powered airplane that would be prohibited from taking off because it could not meet the requirements of paragraph (b)(2) of this section, may take off if an alternate aerodrome is specified that meets all the requirements of this section except that the aircraft can accomplish a full stop landing within 70 percent of the effective length of the runway.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.275,d,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Destination Aerodromes,"d) Unless, based on a showing of actual operating landing techniques on wet runways, a shorter landing distance (but never less than that required by paragraph (b) of this section) has been approved for a specific type and model aircraft and included in the AFM, no person may take off a turbojet powered aircraft when the appropriate weather reports and forecasts, or a combination thereof, indicate that the runways at the destination aerodrome may be wet or slippery at the estimated time of arrival unless the effective runway length at the destination aerodrome is at least 115 percent of the runway length required under paragraph (b) of this section.",FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.275,e,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Destination Aerodromes,(e) A turbojet powered aircraft that would be prohibited from taking off because it could not meet the requirements of paragraph (b)(2) of this section may take off if an alternate aerodrome is specified that meets all the requirements of paragraph (b) of this section.,FLT,All 121,YES,YES,YES
1,121,SUBPART F,-,121.279,,-,"FLT, DSP",AIRPLANE PERFORMANCE OPERATING LIMITATIONS,Airplane: Landing Limitations: Alternate Aerodromes,"No person may list an aerodrome as an alternate aerodrome in a dispatch or flight release (based on the assumptions in GACAR § 121.275(b)) unless that aircraft, at the mass anticipated at the time of arrival, can be brought to a full stop landing within 70 percent of the effective length of the runway for turbopropeller powered aircraft and 60 percent of the effective length of the runway for turbojet powered aircraft, from a point 50 ft (15 m) above the intersection of the obstruction clearance plane and the runway. In the case of an alternate aerodrome for departure, as provided in GACAR § 121.1389, allowance may be made for fuel jettisoning in addition to normal consumption of fuel and oil when determining the mass anticipated at the time of arrival.",FLT,All 121,YES,YES,YES
1,121,SUBPART G,-,121.321,,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Applicability,This subpart prescribes rotorcraft performance operating limitations for all certificate holders operating rotorcraft under GACAR Part 121.,,,NO,NO,NO
1,121,SUBPART G,-,121.323,a,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"Unless authorized by the President in the certificate holders operations specifications—
(a) All rotorcraft operating to or from a heliport in a congested hostile environment must be operating in performance Class 1.",,,NO,NO,NO
1,121,SUBPART G,-,121.323,b,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,(b) Rotorcraft with a passenger seating configuration of more than 19 must be operating in performance Class 1.,,,NO,NO,NO
1,121,SUBPART G,-,121.323,c,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"(c) Except as provided in paragraph (a), rotorcraft with a passenger seating configuration of 19 or less but more than 9 must be operating in performance Class 1 or 2.",,,NO,NO,NO
1,121,SUBPART G,-,121.323,d,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"(d) Except as provided in paragraph (a), rotorcraft with a passenger seating configuration of nine or less must be operating in performance Class 1, 2 or 3.",,,NO,NO,NO
1,121,SUBPART G,-,121.323,e,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,(e) Operations in performance Class 2 must only be conducted with a safe forced landing capability during takeoff and landing.,,,NO,NO,NO
1,121,SUBPART G,-,121.323,f,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,(f) Operations in performance Class 3 must not be conducted in a hostile environment.,,,NO,NO,NO
1,121,SUBPART G,-,121.323,g,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"(g) To permit variations from paragraphs (a) to (f) of this section, the certificate holder must undertake a risk assessment, acceptable to the President, that considers factors such as—
",,,NO,NO,NO
1,121,SUBPART G,-,121.323,g1,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"
(1) The type of operation and the circumstances of the flight,",,,NO,NO,NO
1,121,SUBPART G,-,121.323,g2,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"(2) The area/terrain over which the flight is being conducted,",,,NO,NO,NO
1,121,SUBPART G,-,121.323,g3,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"(3) The probability of a critical engine failure and the consequence of such an event,",,,NO,NO,NO
1,121,SUBPART G,-,121.323,g4,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"
 (4) The procedures to maintain the reliability of the engine(s),
 ",,,NO,NO,NO
1,121,SUBPART G,-,121.323,g5,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,"(5) The training and operational procedures to mitigate the consequences of the critical engine failure, and",,,NO,NO,NO
1,121,SUBPART G,-,121.323,g6,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance Class: General,(6) Installation and use of a usage monitoring system.,,,NO,NO,NO
1,121,SUBPART G,-,121.325,a,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"(a) A certificate holder must ensure that the mass of the rotorcraft at the start of the takeoff; or in the event of in flight replanning, at the point from which the revised operational flight plan applies, is not greater than the mass at which the requirements of the appropriate performance class prescribed in this subpart can be complied with for the flight to be undertaken, allowing for expected reductions in mass as the flight proceeds, and for such fuel jettisoning as is provided for in the particular requirement.",,,NO,NO,NO
1,121,SUBPART G,,121.325,b,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"(b) A certificate holder must ensure that the approved performance data contained in the AFM is used todetermine compliance with the requirements of this subpart, supplemented as necessary with other data acceptable to the President. When applying the appropriate factors prescribed in this subpart, account may be taken of any operational factors already incorporated in the AFM performance data to avoid double application of factors.",,,NO,NO,NO
1,121,SUBPART G,,121.325,c,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"(c) When showing compliance with the requirements of this subpart, due account must be taken of thefollowing parameters:

",,,NO,NO,NO
1,121,SUBPART G,,121.325,c1,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"
(1) Mass of the rotorcraft;
",,,NO,NO,NO
1,121,SUBPART G,,121.325,c2,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,(2) Rotorcraft configuration;,,,NO,NO,NO
1,121,SUBPART G,,121.325,c3,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"(3) Environmental conditions, in particular—
",,,NO,NO,NO
1,121,SUBPART G,,121.325,c3(i),,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"
(i) Pressure altitude, and temperature; ",,,NO,NO,NO
1,121,SUBPART G,,121.325,c3(ii),,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"(ii) Wind, as follows:

",,,NO,NO,NO
1,121,SUBPART G,,121.325,c3(ii)A,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"
(A) For takeoff, takeoff flight path and landing requirements, accountability for wind mustbe no more than 50 percent of any reported steady headwind component of 5 kt (2.6 m/s) or more.
",,,NO,NO,NO
1,121,SUBPART G,,121.325,c3(ii)B,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General,"(B) Where takeoff and landing with a tailwind component is permitted in the AFM, and inall cases for the takeoff flight path, not less than 150 percent of any reported tailwind component must be taken into account.",,,NO,NO,NO
1,121,SUBPART G,,121.325,c3(ii)C,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General ,"(C) Where precise wind measuring equipment enables accurate measurement of windvelocity over the point of takeoff and landing, alternate wind components specific to a site may be approved by the President;",,,NO,NO,NO
1,121,SUBPART G,,121.325,c4,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General ,(4) Operating techniques; and,,,NO,NO,NO
1,121,SUBPART G,,121.325,c5,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Performance: General ,(5) Operation of any system that has an adverse effect on performance.,,,NO,NO,NO
1,121,SUBPART G,-,121.327,a,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Operating Limitations,"(a) For rotorcraft operating in performance Class 2 or 3 in any flight phase where an engine failure may cause the rotorcraft to force land—
",,,NO,NO,NO
1,121,SUBPART G,-,121.327,a1,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Operating Limitations,"
(1) The minimum visibility must not be less than 800 m; and",,,NO,NO,NO
1,121,SUBPART G,,121.327,a2,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Operating Limitations,(2) The operator must verify that the surface below the intended flight path permits the pilot to execute a safe forced landing.,,,NO,NO,NO
1,121,SUBPART G,,121.327,b,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Operating Limitations,"b)Performance Class 3 operations must not to be performed—
 ",,,NO,NO,NO
1,121,SUBPART G,,121.327,b1,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Operating Limitations,"
 (1) In instrument meteorological conditions (IMC);",,,NO,NO,NO
1,121,SUBPART G,,121.327,b2,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Operating Limitations,(2) At night; or,,,NO,NO,NO
1,121,SUBPART G,,121.327,b3,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Operating Limitations,(3) When the cloud ceiling is less than 600 ft (180 m).,,,NO,NO,NO
1,121,SUBPART G,-,121.329,-,-,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,For the purposes of the obstacle clearance requirements prescribed in GACAR 121.351 through 121.355—,,,NO,NO,NO
1,121,SUBPART G,,121.329,a,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"(a) An obstacle, located beyond the final approach and takeoff area (FATO), in the takeoff flight path or themissed approach flight path, must be considered if its lateral distance from the nearest point on the surface below the intended flight path is not farther than—
",,,NO,NO,NO
1,121,SUBPART G,,121.329,a1,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"
(1) For VFR operations, half of the minimum FATO (or the equivalent term used in the AFM) widthdefined in the AFM (or, when no width is defined 0.75 D1), plus 0.25 times D (or 3 m, whichever is greater), plus 0.10 DR2 for VFR day operations, 0.15 DR for VFR night operations.",,,NO,NO,NO
1,121,SUBPART G,,121.329,a2,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"(2) For IFR operations—

",,,NO,NO,NO
1,121,SUBPART G,,121.329,a2(i),,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"
(i) 1.5 D (or 30 m, whichever is greater), plus 0.10 DR for IFR operations with accurate courseguidance 0.15 DR for IFR operations with standard course guidance 0.30 DR for IFR operations without course guidance.
",,,NO,NO,NO
1,121,SUBPART G,,121.329,a2(ii),,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"(ii) When considering the missed approach flight path, the divergence of the obstacleaccountability area only applies after the end of the takeoff distance available;",,,NO,NO,NO
1,121,SUBPART G,,121.329,a2(iii),,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"(iii) Standard course guidance includes automatic direction finder and very high frequencyomnidirectional range (VOR) guidance. Accurate course guidance includes Instrument Landing System (ILS), Microwave Landing System or other course guidance providing an equivalent navigational accuracy.",,,NO,NO,NO
1,121,SUBPART G,,121.329,a3,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"(3) For operations with initial takeoff conducted visually and converted to IFR/IMC at a transitionpoint, the criteria required in paragraph (a)(1) apply up to the transition point then the criteria required in paragraph (a)(2) apply after the transition point—
",,,NO,NO,NO
1,121,SUBPART G,,121.329,a3(i),,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"
(i) The transition point cannot be located before the end of takeoff distance required (TODRH) for rotorcraft operating in performance Class 1 and before the defined point after takeoff (DPATO) for rotorcraft operating in performance Class 2;",,,NO,NO,NO
1,121,SUBPART G,,121.329,b,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"(b) For takeoff using a backup (or a lateral transition) procedure; an obstacle, located in the backup (orlateral transition) area, must be considered if its lateral distance from the nearest point on the surface below the intended flight path is not farther than—

",,,NO,NO,NO
1,121,SUBPART G,,121.329,b1,,N/A,ROTORCRAFT PERFORMANCE OPERATING LIMITATIONS,Obstacle Accountability Area,"
(1) Half of the minimum FATO (or the equivalent term used in the AFM) width defined in the AFM(or, when no width is defined 0.75 D), plus 0.25 times D (or 3 m, whichever is greater), plus 0.10 for VFR day, or 0.15 for VFR night, of the distance traveled from the back of the FATO.
",,,NO,NO,NO
