No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,,,,,,
1,4,SUBPART C,,4.31,,b,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting and Reviewing of System Failures,"(b) The certificated aerodrome operators must establish a system for recording, reviewing, and rectifying major failures in the aerodrome system. The certificated ground services providers must establish an occurrence reporting system to record, review and rectify major breakdowns of ground
services equipment. A periodic report on facilities breakdowns, system failures, and internal audit findings must be submitted in a form and manner acceptable to the President.",,,,,,
1,4,SUBPART D,,4.33,,a,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Operational Performance and Engineering Statistics Report,"(a) Each certificate holder operating under GACAR Part 121, Part 135, Part 125, and authorization holders under Part 91 must submit a periodic report on fleet operational performance and engineering statistics to the President.",,,,,,
1,4,SUBPART D,,4.33,,b,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Operational Performance and Engineering Statistics Report,"(b) The scheduled commercial air operators must submit operational performance and statistical engineering reports every month, whereas unscheduled commercial air operators and aerial operators must submit quarterly reports.",,,,,,
1,4,SUBPART D,,4.33,,c,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Operational Performance and Engineering Statistics Report,"(c) Non-commercial operators approved under GACAR Part 125 and authorization holders operating under Part 91 must submit an operational performance and engineering statistics
report on a half-yearly and annual basis, respectively.",,,,,,
1,4,SUBPART D,,4.33,,d,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Operational Performance and Engineering Statistics Report,"(d) Each Public aerodrome and heliport certificate holder operating under GACAR Part 139,Part 138, Part 137 must submit an Aerodrome/heliport Operational Statistics and safety
performance report to the President every month, whereas aerodrome authorization holders must submit the information annually.",,,,,,
1,4,SUBPART D,,4.33,,e,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Operational Performance and Engineering Statistics Report,(e) Each Ground Services provider operating under GACAR Part 151 must submit Ground Services Operational statistic and Safety Performance Report every month.,,,,,,
1,4,SUBPART D,,4.33,,f,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Operational Performance and Engineering Statistics Report,"(f) The aircraft operators and other service providers must submit the operational statistic and safety performance report in a form and manner acceptable to the President. The reports for a specific period must be prepared with supporting graphs, charts, and diagrams and submitted before the 10th day of the following month.",,,,,,
1,4,SUBPART D,,4.33,,g,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Operational Performance and Engineering Statistics Report,"(g) President may require the reports with higher frequency based on the type of the aircraft, nature of the operation, and operational safety records",,,,,,
1,4,SUBPART D,,4.35,,,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Flight Operation Safety Performance Reporting,"Each certificate holder operating under GACAR Part 121, Part 135, Part 125, and authorization holders under Part 91 must submit a report on occurrences related to the flight
operations.",,,,,,
1,4,SUBPART D,,4.37,,a1,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,"(a) The engineering statistics report must contain at least the following details:
(1) Type wise aircraft registration details – make, model, and registration marks; and",,,,,,
1,4,SUBPART D,,4.37,,a2,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,"(2) Fleet flying details – Total flying hours: revenue and non-revenue; Number of landings, daily utilization (Fleet) hours, daily utilization (Fleet) landing,",,,,,,
1,4,SUBPART D,,4.37,,a3,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(3) Total number of incidents; Number of incidents per 1000 landings; and,,,,,,
1,4,SUBPART D,,4.37,,a4,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(4) Total number of technical delays of more than 15 minutes and Technical dispatch reliability.,,,,,,
1,4,SUBPART D,,4.37,,a5,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(5) Total number of MELs; List of MELs; MEL rate: MEL per 1000 operations.,,,,,,
1,4,SUBPART D,,4.37,,a6,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(6) Total number of major defects and aircraft details.,,,,,,
1,4,SUBPART D,,4.37,,a7,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,"(7) List of incidents, including ground incident indicating.",,,,,,
1,4,SUBPART D,,4.37,,a8,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,"(8) Engine operational Review – Total number of engines owned, Total engine hours and",,,,,,
1,4,SUBPART D,,4.37,,a9,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(9) APU operational Review.,,,,,,
1,4,SUBPART D,,4.37,,a10,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,"(10) Total number of defects ATA Chapter wise, including three months cumulative and average.",,,,,,
1,4,SUBPART D,,4.37,,a11,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(11) List unscheduled components removal and replacement.,,,,,,
1,4,SUBPART D,,4.37,,a12,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(12) Auto landing (CAT I/II/III) system reliability.,,,,,,
1,4,SUBPART D,,4.37,,a13,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Engineering Statistics Reporting,(13) Reports on Flight Data Analysis and list of exceedance details.,,,,,,
1,4,SUBPART D,,4.39,,a,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Aerodrome operational Statistics and Safety Performance Report,"All Public aerodrome/heliport operators operating under GACAR Part 139, Part 138, Part 137 must submit an Aerodrome/heliport Operational Statistics and safety performance report containing at least the following details:
(a) Name of the operator and total number of movements in a specific period.",,,,,,
1,4,SUBPART D,,4.39,,b,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Aerodrome operational Statistics and Safety Performance Report,(b) Number of collision or near-collisions in Apron/airfield.,,,,,,
1,4,SUBPART D,,4.39,,c,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Aerodrome operational Statistics and Safety Performance Report,(c) Number of runway/taxi incursion and runway Excursion.,,,,,,
1,4,SUBPART D,,4.39,,d,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Aerodrome operational Statistics and Safety Performance Report,(d) Number of Pushback incidents.,,,,,,
1,4,SUBPART D,,4.39,,e,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Aerodrome operational Statistics and Safety Performance Report,(e) Number of wildlife /bird strikes.,,,,,,
1,4,SUBPART D,,4.39,,f,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Aerodrome operational Statistics and Safety Performance Report,"(f) Number of failures - Marking /Signaling, Guidance system, or other equipment failures.",,,,,,
1,4,SUBPART D,,4.41,,a,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(a) Each air traffic service provider providing services under GACAR Part 171 must provide the Operational statistics and safety information as listed in § 4.31 (b) through (e) of this section in accordance with the reporting regime prescribed in § 4.31 (f) of this section.,,,,,,
1,4,SUBPART D,,4.41,,b,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,"(b) Enroute Movement data for IFR, VFR, and Military flights identifying domestic flights, international arrival or departure flights, and international overflights.",,,,,,
1,4,SUBPART D,,4.41,,c,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,"(c) Enroute flight hours data on IFR, VFR, and Military flights.,",,,,,,
1,4,SUBPART D,,4.41,,d,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,"(d) Movement data of each controlled aerodrome for IFR, VFR, and Military operation identify arrivals, departures, and circuits.",,,,,,
1,4,SUBPART D,,4.41,,e,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(e) Peak Hour data at each controlled aerodrome. The peak hour data means the average number of movements per hour derived from an average of the ten busiest hours over the month.,,,,,,
1,4,SUBPART D,,4.41,,f1,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,"(f) The ATS operations and safety performance reports must cover all technical and operational performance observed, including those reported by external parties. The report must contain at least the following details:
(1) The number of Air Traffic Controllers per ATS Unit with the monthly restoring",,,,,,
1,4,SUBPART D,,4.41,,f2,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(2) List of safety occurrences reported by the ATS Unit.,,,,,,
1,4,SUBPART D,,4.41,,f3,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(3) List of safety occurrences reported by external parties,,,,,,
1,4,SUBPART D,,4.41,,f4,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(4) List of safety occurrences investigated and their status as closed or open.,,,,,,
1,4,SUBPART D,,4.41,,f5,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(5) List of technical and operating irregularities per ATS Unit with a brief description and their status,,,,,,
1,4,SUBPART D,,4.41,,f6,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(6) The number of Short-Term Conflict Alert (STCA) and Minimum Safe Altitude Warning (MSAW) automatically detected and reported by each ATS Unit.,,,,,,
1,4,SUBPART D,,4.41,,f7,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(7) List of STCA and MSAW warnings investigated and the status of whether “closed” or “open”.,,,,,,
1,4,SUBPART D,,4.41,,f8,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(8) List of delayed flights and their causes,,,,,,
1,4,SUBPART D,,4.41,,f9,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(9) The average taxi time for each runway in use,,,,,,
1,4,SUBPART D,,4.41,,f10,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(10) The average flying time on the main ATS routes network,,,,,,
1,4,SUBPART D,,4.41,,f11,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Air Traffic Operational Statistics and Safety Performance Report,(11) The number of days with reduced visibility its duration for each ATS Unit,,,,,,
1,4,SUBPART D,,4.43,,a,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,"Each Ground services provider approved under GACAR Part 151 must submit a Ground service operational statistics and safety performance report, which must contain at least the following
details:
(a) Name of the operator and total number of movements in a specific period",,,,,,
1,4,SUBPART D,,4.43,,b,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(b) Number of collisions or near collisions and aircraft damages,,,,,,
1,4,SUBPART D,,4.43,,c,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(c) Pax/Crew/Transport System (step ladder boarding bridge and vehicle) failures,,,,,,
1,4,SUBPART D,,4.43,,d,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(d) Number of Pushback incidents,,,,,,
1,4,SUBPART D,,4.43,,e,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,"(e) Number of incidents due to aircraft Interface system (Ground Power Unit, Water Service,Fueling) failures",,,,,,
1,4,SUBPART D,,4.43,,f,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(f) Number of baggage and conveyors related incidents,,,,,,
1,4,SUBPART D,,4.43,,g,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(g) Number of dangerous goods incidents.,,,,,,
1,4,SUBPART D,,4.45,,a1,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Confidentiality of Statistical Reports,"(a) The President or any person employed by the President must not communicate to any unauthorized persons any information provided in statistical reports that identify any individual
certificate holder except:
(1) With the consent of the certificate holder.",,,,,,
1,4,SUBPART D,,4.45,,a2,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(2) In accordance with Article 67 of the Convention on International Civil Aviation; or,,,,,,
1,4,SUBPART D,,4.45,,a3,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(3) In pursuant of provisions prescribed in other applicable laws of the Kingdom of Saudi  Arabia.,,,,,,
1,4,SUBPART D,,4.45,,b,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Ground Services Operational Statistics and Safety Performance Report,(b) The President may provide relevant information to the Council of the International Civil Aviation Organization related to international commercial air transport operations.,,,,,,
1,4,SUBPART E,,4.47,,a1,-,,SAFETY DATABASE AND EXCHANGE OF INFORMATION,Safety Information Database,"(a) Each certificate holder must maintain a safety database, information system and establish procedures for analyzing the data collected from the following internal sources as required in
GACAR Part 5, Safety Management System.
(1) Mandatory occurrence reports.",,,,,,
1,4,SUBPART E,,4.47,,a2,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Safety Information Database,(2) Voluntary reports.,,,,,,
1,4,SUBPART E,,4.47,,a3,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Safety Information Database,"(3) Findings from the GACA oversights such as surveillance, spot-checks, and inspections.",,,,,,
1,4,SUBPART E,,4.47,,a4,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Safety Information Database,(4) Monthly operational performance and statistical data.:,,,,,,
1,4,SUBPART E,,4.47,,b,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Safety Information Database,"(b) Each certificate holder approved under GACAR Part 121, in addition to the reports indicated in § 4.37 (a), must archive aircraft operational exceedances, adverse trends, and
procedural deviations identified from its Flight data analysis system.",,,,,,
1,4,SUBPART E,,4.47,,c,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Safety Information Database,"(c) Notwithstanding the reports submitted to the President, each certificate holder must provide access to the AIB and the President to the occurrence database or related records maintained.",,,,,,
1,4,SUBPART E,,4.47,,d,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Safety Information Database,"(d) All accidents and serious incidents reports stored in the standardized descriptive database/ECCAIRS/ADREP reporting system of the AIB, described in AIB Regulation § 7.2, and the deidentified incidents database of GACA are accessible to the stakeholders for assessing the safety trend and performance and mutual sharing of safety data with the ICAO Contracting
States under the State Safety Program.",,,,,,
1,4,SUBPART E,,4.49,,a,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Protectionof Safety data,"(a) Data collected from persons, operators, and service providers under mandatory or voluntary system are used only to enhance aviation safety.",,,,,,
1,4,SUBPART E,,4.49,,b,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Protectionof Safety data,(b) Persons reporting safety data to the President under this part are subject to protection from disclosure provisions prescribed in GACAR Part 193.,,,,,,
1,4,SUBPART E,,4.49,,c,-,,REPORTING OF OPERATIONAL PERFORMANCE AND ENGINEERING STATISTICS,Protectionof Safety data,(c) Persons reporting safety information to the President under this part are subject to the immunity from punitive action provisions prescribed in GACAR Part 13.,,,,,,
1,4,,APPENDIX A,,,a,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"The aircraft serious incidents are listed below. The operator must report any other serious incident encountered which is not listed in Appendix A.
Serious Incidents.
(a) Near collisions requiring an avoidance maneuver to avoid a collision or an unsafe situation or when an avoidance action would have been appropriate.",,,,,,
1,4,,APPENDIX A,,,b,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,(b) Collisions not classified as accidents.,,,,,,
1,4,,APPENDIX A,,,c,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,(c) Controlled flight into terrain only marginally avoided.,,,,,,
1,4,,APPENDIX A,,,d,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(d) Aborted take-offs on a closed or engaged runway, taxiway, or unassigned runway.",,,,,,
1,4,,APPENDIX A,,,e,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(e) Take-offs from a closed or engaged runway, from a taxiway, or unassigned runway.",,,,,,
1,4,,APPENDIX A,,,f,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(f) Landings or attempted landings on a closed or engaged runway, taxiway, or unassigned runway.",,,,,,
1,4,,APPENDIX A,,,g,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,(g) Gross failures to achieve predicted performance during take-off or initial climb.,,,,,,
1,4,,APPENDIX A,,,h,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(h) Fires or smoke in the cockpit, in the passenger compartment, in cargo compartments, or engine fires.",,,,,,
1,4,,APPENDIX A,,,i,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,(i) Events requiring the emergency use of oxygen by the flight crew.,,,,,,
1,4,,APPENDIX A,,,j,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(j) Failure of aircraft structure or engine, or uncontained turbine engine failures (not classified as an accident).",,,,,,
1,4,,APPENDIX A,,,k,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,(k) Malfunctions of multiple aircraft systems that affect the aircraft operation seriously.,,,,,,
1,4,,APPENDIX A,,,l,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,(l) Flight crew incapacitation in flight.,,,,,,
1,4,,APPENDIX A,,,m,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(m) Fuel quantity level or distribution situations requiring the declaration of an emergency by the pilot, such as insufficient fuel, fuel exhaustion, fuel starvation, or inability to use all usable fuel onboard",,,,,,
1,4,,APPENDIX A,,,n,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(n) Runway incursions classified with severity, A. The ICAO Manual on the Prevention of Runway Incursions (Doc 9870) contains information on the severity classifications",,,,,,
1,4,,APPENDIX A,,,o,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(o) Take-off or landing incidents. Incidents such as under-shooting, overrunning, or running off the side of runways.",,,,,,
1,4,,APPENDIX A,,,p,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(p) System failures, weather phenomena, operations outside the approved flight envelope, or other occurrences which caused or could have caused difficulties controlling the aircraft.",,,,,,
1,4,,APPENDIX A,,,q,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,(q) Failures of more than one system in a redundancy system mandatory for flight guidance and navigation.,,,,,,
1,4,,APPENDIX A,,,r,-,,EXAMPLES OF SERIOUS INCIDENTS,Serious Incidents,"(r) The unintentional or, as an emergency measure, the intentional release of a slung load or any other load carried external to the aircraft.",,,,,,
1,4,,APPENDIX B,PART A,1,a1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"Appendix B provides a list of occurrences in flight operations. The operator must report any other incident related to flight operation which is not listed in Appendix B.
Part A - Transport Aircraft and commuter category aircraft.
(1) Air Operations
(a) Flight preparation
(1) Using incorrect data into equipment for navigation or performance calculations that have
or could have endangered the aircraft and its occupants.",,,,,,
1,4,,APPENDIX B,PART A,1,a2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(2) Carrying or attempted carriage of dangerous goods in contravention of applicable legislation, including incorrect labeling, packaging, and handling of dangerous goods.",,,,,,
1,4,,APPENDIX B,PART A,1,b1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(b) Aircraft preparation
(1) Incorrect fuel type or contaminated fuel.",,,,,,
1,4,,APPENDIX B,PART A,1,b2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(2) Missing, incorrect, or inadequate De-icing/Anti-icing treatment.",,,,,,
1,4,,APPENDIX B,PART A,1,c1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(c) Take-off and landing
(1) Taxiway or runway excursion.",,,,,,
1,4,,APPENDIX B,PART A,1,c2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(2) Actual or potential taxiway or runway incursion.,,,,,,
1,4,,APPENDIX B,PART A,1,c3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(3) Final Approach and Take-off Area (FATO) incursion.,,,,,,
1,4,,APPENDIX B,PART A,1,c4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(4)Any rejected take-off.,,,,,,
1,4,,APPENDIX B,PART A,1,c5,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(5)Inability to achieve required or expected performance during take-off, go-around, or landing.",,,,,,
1,4,,APPENDIX B,PART A,1,c6,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(6)Actual or attempted take-off, approach, or landing with the incorrect configuration setting.",,,,,,
1,4,,APPENDIX B,PART A,1,c7,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(7)Tail, blade/wingtip, or nacelle strike during take-off or landing.",,,,,,
1,4,,APPENDIX B,PART A,1,c8,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(8) Approach continued against air operator stabilized approach criteria.,,,,,,
1,4,,APPENDIX B,PART A,1,c9,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(9)Continuation of an instrument approach below published minimums with inadequate visual references.,,,,,,
1,4,,APPENDIX B,PART A,1,c10,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(10)Precautionary or forced landing.,,,,,,
1,4,,APPENDIX B,PART A,1,c11,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(11)Short and long landing.,,,,,,
1,4,,APPENDIX B,PART A,1,c12,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(12)Hard landing.,,,,,,
1,4,,APPENDIX B,PART A,1,d1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(d) Any phase of flight
(1) Loss of control.",,,,,,
1,4,,APPENDIX B,PART A,1,d2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(2) Aircraft upset, exceeding normal pitch attitude, bank angle, or airspeed inappropriate for the conditions.",,,,,,
1,4,,APPENDIX B,PART A,1,d3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(3) Level bust.,,,,,,
1,4,,APPENDIX B,PART A,1,d4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(4) Activation of any flight envelope protection, including stall warning, stick shaker, stick pusher, and automatic protections.",,,,,,
1,4,,APPENDIX B,PART A,1,d5,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(5) Unintentional deviation from the intended or assigned track of the lowest of twice the required navigation performance or ten nautical miles.,,,,,,
1,4,,APPENDIX B,PART A,1,d6,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(6) Exceedance of aircraft flight manual limitation,,,,,,
1,4,,APPENDIX B,PART A,1,d7,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(7) Operation with incorrect altimeter setting.,,,,,,
1,4,,APPENDIX B,PART A,1,d8,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(8) Jet blast or rotor and prop wash occurrences that have or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART A,1,d9,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(9) Misinterpretation of automation mode or any flight deck information provided to the flight crew that has or could have endangered the aircraft, its occupants, or any other person",,,,,,
1,4,,APPENDIX B,PART A,1,e1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(e) Other types of occurrences
(1) Unintentional release of cargo or other externally carried equipment.",,,,,,
1,4,,APPENDIX B,PART A,1,e2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,"(2) Loss of situational awareness (environmental, mode, and system awareness, spatial disorientation, and time horizon).",,,,,,
1,4,,APPENDIX B,PART A,1,e3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Transport Aircraft and Commuter Category Aircraft,(3) Any operation wherein the human performance has directly contributed to or could have contributed to an accident or a serious incident.,,,,,,
1,4,,APPENDIX B,PART A,2,a1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(2) Technical Occurrences
(a) Structure and systems
(1) Loss of any part of the aircraft structure in flight.",,,,,,
1,4,,APPENDIX B,PART A,2,a2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,(2) Loss of a system.,,,,,,
1,4,,APPENDIX B,PART A,2,a3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,(3) Loss of redundancy of a system.,,,,,,
